ProductGroupID,GroupName,GroupDescription,Category,SubCategory,TargetMarket,Brand,AveragePriceRange,PopularProducts,DiscountPolicy,Seasonality
80382448-fde9-4e2c-984f-c72eb4b8dbde,my,About ahead reflect want very investment.,with,decision,so,size,125-846,place,why,over
aebcd796-29c7-4de8-85df-cbff5b60e457,yes,Piece debate land product determine mother cause standard.,drug,conference,so,huge,472-571,go,door,offer
0d0688b1-1934-43e8-bada-7632596dd79a,know,Nearly rich seat media fund control yet.,right,shake,attorney,film,139-663,service,television,light
196cb14c-3352-42a3-bc05-455ba03e0213,far,Themselves political control act life.,city,human,meeting,relationship,401-756,night,what,left
60cf6e80-28fb-432b-97fc-bf38df98ce09,material,Similar attorney seem citizen call certainly.,hospital,growth,available,film,133-903,share,show,write
2d976bb0-8b05-449d-a7ff-4055bad6293a,cultural,To option interview always expect product step.,strategy,listen,inside,section,366-589,marriage,provide,well
270d8abf-b10b-4e1c-9e67-ba6ce622eadc,ten,Eight fund game environmental look family ability.,successful,budget,agent,wear,191-685,look,job,part
3808698d-30e7-47aa-bba6-acaccba3aa15,cup,Up hear both budget.,can,win,age,success,412-582,final,ten,city
f99099d0-f7f4-4a4d-8af6-709be75c009d,church,Fire plant society professional from.,attention,education,manage,feeling,236-563,expect,level,cost
6375c8ef-aba2-4576-9e09-3f06d0ead30a,situation,Call boy along government truth.,history,direction,to,security,128-937,front,side,either
5939d1d0-d5b1-4108-934e-414a8390abe2,across,Sport lead majority as.,hit,politics,history,improve,482-554,manager,ok,large
9fed0b69-2cc7-468a-80a3-5701d1ba180f,pick,Plan important follow office thousand interesting.,administration,never,individual,course,317-876,issue,short,old
ef4e0ae4-c4b0-4599-86a8-92f8eda0a363,notice,Share wall director change small already.,anything,and,fight,owner,217-951,finally,grow,unit
1b01cb0b-683c-452d-929f-5f6727e8bb07,hit,Whom author section huge moment fire begin.,the,wall,relationship,more,332-607,role,record,cost
dac50cd7-dfa8-416c-8d49-a791d9a6fba5,floor,Arrive officer none unit age agent next.,role,sure,budget,fear,209-709,on,view,choice
790857c0-1fce-4d0f-866b-09ef92edd5ad,shoulder,Ago source book us back appear visit.,test,evening,every,western,246-751,somebody,free,road
1dbc70cd-2a49-451c-9001-ef37aa69fb45,technology,Maybe few paper American official stop add consider.,bank,half,especially,society,228-867,sure,half,community
35acadb6-bbe4-4a0b-827f-c0c96e3239ff,life,Between bill behavior among fall night trade.,important,season,history,day,153-791,kitchen,many,how
bfe95329-14a1-4590-aa86-14afa568099c,anyone,Customer response apply.,knowledge,phone,everything,reason,267-981,take,offer,mouth
b64b3dcc-d72b-42be-a28c-68b04cfa386d,key,Often crime cell matter as ok.,range,treat,step,space,376-660,safe,voice,which
717949e9-b61c-42b6-943a-ad3877768018,note,Fast peace company represent us long.,guy,least,or,beat,471-609,team,rate,democratic
6f81283d-2d6a-4643-9bdf-034250e8a9e4,woman,Politics doctor bring stage feel throughout.,our,realize,message,happen,498-949,body,fine,sign
463da6eb-e3e8-41da-bf78-00ac713fc6ec,PM,Beyond in ok me mention decade where.,different,nothing,many,easy,103-731,do,choose,anyone
0773253d-3a2a-4a16-a492-f36fdc9982fa,everyone,Travel short firm executive clear race.,sea,girl,stay,hear,402-948,commercial,represent,world
8bef310b-edcb-4902-8c03-4877f4924b33,as,Work summer mean door not.,garden,house,of,couple,416-674,black,enter,than
843fca06-f4b4-462b-9598-f298a6488789,discover,Out job laugh ask every left development door.,turn,store,sure,yes,446-960,organization,party,various
fb715823-1123-403c-a201-436aa917f004,food,Cut car forget send nearly.,help,discuss,place,lot,286-848,card,security,know
f65939b5-7556-4a45-bf38-f42b88347e39,word,Least watch Democrat important clearly offer on.,idea,hear,without,boy,429-949,sport,watch,same
9db9a782-7664-4ec6-9d44-15087707dfab,history,Hit site environmental mention son remain once.,hundred,recent,spend,say,462-520,speak,front,mouth
8d41d367-4b75-4b48-87ab-29c57f7a9aa2,building,Staff type south land evidence system.,standard,practice,story,quickly,420-618,senior,education,tough
c8dfda2f-a74a-48f7-86a5-40f9be17600b,condition,Usually all executive believe best.,finally,speech,brother,produce,452-593,read,throw,although
20d3fda9-d09b-4f76-888c-3183902cbfef,be,Point guy real big challenge perhaps.,chair,certainly,total,class,289-714,face,effect,capital
4ea42f3a-6ac1-4c0c-95d3-d7cefc3fbeac,feel,Management everybody need house.,somebody,necessary,million,chair,272-716,hear,former,free
29f68909-1a76-4c66-ad79-eeca99f3f30a,myself,Quickly they into another thought.,left,material,better,affect,285-991,relationship,bar,represent
e47c1edb-20eb-4198-9240-d2eef102e20e,forget,Goal performance eat while.,family,likely,fill,resource,395-772,significant,measure,man
e7a0ee4b-85e5-47e4-9130-a365726ff003,board,Cost relate become law close.,others,also,wind,sing,242-547,happen,their,live
adaddc68-c73f-4f37-b46c-147ba3406b0f,information,Arrive maybe character wife apply analysis investment energy.,near,key,teacher,now,306-938,although,candidate,or
9a89976b-690a-40e6-845f-2264d6fd51a4,item,Ever degree travel total agency artist.,forward,it,economy,sport,418-944,join,audience,try
3aabc8d6-0e52-45a3-afef-a0305438c82c,society,Rise conference serious apply son long I.,indicate,work,thus,check,177-864,kid,despite,process
c0ce3381-41d6-4b65-8272-f92485c8a2d4,mention,No raise town practice cost animal indeed structure.,clear,happen,red,seem,358-906,add,thousand,shake
a18e231c-ed0e-4815-aab3-cdf1ba0cd9dc,certainly,Hand way room.,close,them,environment,game,332-568,town,keep,develop
5f665398-39e4-426d-b4cf-4c6536b2aa2c,best,Shake student measure carry admit.,determine,institution,arrive,possible,448-977,international,away,deal
71d39a74-1a33-45c7-9ad7-790c019c8ee7,material,Its station perhaps upon now forget article.,loss,evening,ok,move,456-934,heart,live,professional
e718263a-b08e-4cf5-8cbc-e82a40e26bf3,outside,Main young tax water concern.,person,create,student,total,141-820,blue,remember,goal
b54c0294-9383-4680-aa4a-69cec46d765c,statement,President history room south agency cost girl.,room,third,explain,despite,267-802,carry,under,coach
95f7d8f6-d78c-4f7c-8d59-238d1d6dd67a,will,Hit simply mean teach about.,child,system,enjoy,yet,294-809,man,item,certainly
3e5e8a30-b88d-42d9-9fe3-7ba37c166b9e,on,Answer stock available time suggest hit beautiful.,town,believe,trade,account,327-540,every,probably,police
40cbe283-8290-4217-bea9-b397f3f9b9e4,tell,Study within than coach address yard author.,hope,step,standard,want,445-557,three,sit,popular
23df728f-4bb8-4ee2-b69a-94c4d871d2af,six,Fall message keep long former protect billion.,type,year,finally,sign,135-969,per,hair,manage
8f6e47cf-97e1-460f-84c9-6efeb227f67d,business,Through environmental of group feeling cell consumer.,provide,wife,night,government,335-510,well,individual,tell
37c12f7c-4b22-447f-b381-bb87aa49d26c,man,Agreement job would.,those,quickly,expert,pretty,261-884,child,source,international
20abaef1-e7e5-4abf-844f-7df70c2e9461,young,Control employee front.,growth,on,past,only,453-604,president,campaign,put
202d5406-4d31-4c89-87b0-0c42a916f7c8,everybody,Culture check century old.,exist,many,fight,method,268-853,write,through,base
8d8ec66d-55ee-45bc-954c-a7e627f36374,note,Later eye color letter show avoid fight lay.,seem,sure,same,million,164-733,clear,operation,stop
a132f065-d3d8-45e9-9be6-eba139e30070,piece,Share can form.,over,scientist,anyone,happy,150-798,record,huge,next
18d7905f-7dec-46a3-adf9-692dc361b85e,learn,Book our say its college PM.,measure,them,together,especially,191-603,whom,source,sign
17d618fc-c66e-465e-9430-2c7a6398e627,practice,Language here single present sea simple lot prove.,raise,laugh,good,camera,129-560,number,memory,south
50bf1927-cc70-4670-a0d1-0eb5aa658d99,policy,Machine green security artist wait amount either.,agreement,say,least,central,309-715,American,side,seem
ccbcf371-3fca-44e8-a5d3-d01d83058b6c,plant,Response fact improve compare country up.,think,page,accept,maintain,483-705,single,little,six
589f78f1-5bcf-4f65-91c4-d803c83b23a8,senior,Body nearly already eat piece capital year.,seem,night,conference,keep,428-909,thank,local,newspaper
49e85c07-396f-492b-a603-aa4c17dc23d4,feeling,Movement animal available who box response.,social,those,state,same,130-849,plan,which,into
ba7e5bef-eedb-4d32-b570-fd1b2c1a4af6,case,Move point popular wind.,five,blue,note,sit,327-652,expert,base,consumer
8e5580c3-659a-4ac2-8e39-c3698e501b6a,customer,Image speak weight offer win animal.,memory,appear,because,book,367-979,point,range,technology
ced24d20-fa95-4f3c-9cfa-1038cb63c9b0,more,Quickly voice energy toward from politics first.,well,somebody,among,measure,162-982,maybe,not,yes
3347cff8-b9f1-4af0-8d21-534bacb181f5,street,Sell business produce form when make run.,entire,same,run,visit,262-912,discover,teacher,clearly
90f93ba7-4561-45d0-9aab-03d8f9c7f7e1,much,Discussion bad worry wall so share control.,amount,continue,clear,throughout,334-593,follow,actually,hot
d7cc4c7f-6f73-4825-a5f4-f600669c994b,other,Scene many practice central kitchen may different professional.,science,process,least,board,401-970,number,stop,want
78185b0a-b0a4-4992-8725-553e9b33228f,be,Same fill Mrs finish.,run,night,similar,building,433-943,month,return,thought
8102f0b7-d975-4781-90cd-b5e1f6d819a7,hundred,Require possible tax specific similar black style.,it,north,local,region,453-688,increase,society,financial
e1adbf25-b47b-4ba0-a0a9-f0fbfa9bc98c,ask,Along up food what.,sure,field,vote,arm,454-590,able,protect,great
f97488a0-493a-411c-8452-38b508a18d67,gun,Consumer them audience crime.,what,us,girl,work,395-665,thank,amount,director
91be35b0-7c21-40db-a0fb-8a70638c7f92,gas,Push would behavior military often no.,nearly,lawyer,case,thought,214-508,mother,trouble,type
20fc469e-3efe-4fe3-a3a6-a30f8b2028ac,grow,Money center explain study something.,later,seem,behavior,yeah,228-968,allow,drop,herself
fe840dc5-81fb-4809-a0d8-738ae9ae6cf1,mention,Friend program right.,real,picture,series,benefit,466-847,then,air,fish
5e1abfa2-83ec-4563-bf4f-3bc33b6d3260,behavior,Force card soon.,approach,dog,visit,future,177-628,chair,tonight,simple
bd1a7d94-8851-4d30-a92d-e73c8703345e,ok,Network race oil former hear evening organization.,data,fast,blood,opportunity,145-626,best,record,go
4ed84691-ba9a-402e-811b-deb87b9efb81,character,Time common traditional.,hold,provide,guess,pass,126-739,difficult,process,reality
4fff16dc-d84e-452a-8e48-0e1ca5ba0b4a,art,Movement throughout less consider somebody.,social,number,wish,brother,264-950,voice,factor,window
84396456-8c2a-4643-957d-597bce05548d,go,Of either too often process present environment guess.,population,ask,quite,material,193-919,walk,without,nearly
a6678f00-81f2-4c75-be28-d843e1c1074f,project,Way grow despite agreement staff camera reduce politics.,pay,call,home,travel,497-602,like,consider,idea
03fcf679-4728-4e1a-a774-fddb483679cf,off,Fine another food remain.,firm,reason,color,effort,130-522,art,court,use
2309fdd9-30cc-4d4f-9b7f-4374bdabfdeb,on,Government economy term one probably.,still,soldier,soon,protect,231-626,space,born,role
546552a0-c5c8-419d-8419-246946861eb2,strong,Usually security in century reason fund.,a,would,room,order,432-936,past,choice,produce
11dc016b-0b0c-42ca-9859-166828a66679,once,Employee exactly not seat.,full,bed,surface,total,481-510,little,allow,like
8af2f657-203c-47c5-9fb4-fa721bebbde1,hard,Agree hand want line.,history,keep,sell,parent,163-612,according,each,buy
cb570894-b314-4ba6-b4fb-3362dd6e4df2,above,Case nearly all east.,material,sense,billion,cell,392-816,network,account,institution
f56abf4f-c124-47bf-b02c-acb55a0370d0,available,Life join environmental everybody.,without,manager,friend,character,132-548,hand,really,Congress
86e7c75a-bf57-4be1-b169-dd57f64957bc,nor,Various nor threat he series north might experience.,area,boy,travel,effect,446-668,dinner,push,understand
a370c758-7584-4155-adec-84e402139062,door,Individual instead believe who campaign firm live employee.,country,these,energy,ball,380-936,adult,no,sort
8340debc-53ae-42f9-9bdb-29b0c476c10d,often,Line rule very senior water change ball.,different,art,family,back,124-621,again,serve,never
ed5d2821-6885-47db-a655-d926b7011527,in,Exist social area tough.,energy,between,strong,about,414-789,house,right,arrive
c1fc7868-45f0-4241-9335-9a3cdf4f912c,for,Successful cover style.,seat,bring,chance,present,133-646,main,late,nice
e60722c0-c68f-4627-812d-82e72b50d13f,war,Method similar various.,impact,place,second,up,231-932,ball,heavy,suddenly
1195878d-b590-4924-8bf3-6f1166462941,mean,Choose between suggest hair girl little she air.,raise,network,evening,play,238-899,tax,hotel,sea
3dd21f44-df97-462b-b9a8-b6e32cfa15da,evening,Personal ground true among yes see poor Mr.,agent,instead,energy,eight,155-510,beyond,would,along
ac92c55f-2409-4126-8155-2544bd306ee0,energy,Run simply laugh.,eye,small,reveal,land,218-826,hold,cause,agree
a6c16cdf-0666-4008-99a4-733390b7b8cd,argue,Grow necessary unit kind could.,economic,better,may,institution,316-537,fill,financial,staff
4daa6022-c797-4c7a-bfaf-8fbf1e9b5b79,method,Help environmental travel worker long animal reflect.,through,memory,nice,inside,153-622,individual,determine,economic
d137d414-11b5-4975-ba11-20382e901cc8,training,Entire age indeed present.,military,which,option,care,144-771,production,newspaper,until
182fd390-7e9c-413e-82b3-7a4425dc6da4,expect,Provide high individual.,can,determine,affect,fine,364-998,author,deal,happy
8136ff1d-492b-4e00-a158-76574e68a327,according,Large offer course either themselves lose.,treat,fast,court,wonder,119-540,focus,new,analysis
c0d3bb1b-15d2-44a5-ab89-4b19543a69d2,prevent,To social her way improve.,sense,state,concern,idea,373-654,end,suddenly,woman
162a4719-7667-4aa0-90a6-b82faac44e06,difficult,Recognize moment north table.,direction,media,gun,popular,317-774,heart,do,business
70f75b2c-f96a-4a5e-a4e7-784e65536f28,develop,Executive night since east offer floor.,seat,almost,service,door,458-611,task,while,serious
89337d7a-ca4a-455f-bef1-f45fcdd6ec7a,fund,Condition these everybody.,form,water,box,school,120-577,left,PM,all
d772b243-888d-49af-b1bf-ce838d1dbf77,industry,Site picture PM find.,sense,practice,produce,I,162-513,fund,region,few
dd0db102-6baf-439f-b374-1fb7da33972f,day,Figure thousand call feeling.,how,better,various,wait,146-999,thank,she,protect
969cb5c6-50f8-4422-af8f-ce41fc6bd943,who,History threat information wonder onto sometimes.,cut,participant,wear,rest,448-719,year,ahead,war
39f56687-1390-4e95-af59-62e05721eddd,effort,Thing this where song personal choice western.,head,whom,determine,hard,470-805,child,treatment,less
b80e38a8-39a1-437b-87cf-098e0575fcde,something,President top economy whether determine trip.,certainly,ago,skill,others,300-837,investment,human,maybe
ee93ebb9-a497-44b6-9da7-9ecf36e9f19e,growth,Seem again avoid they indicate list song.,experience,leave,production,herself,270-581,near,back,resource
e686446e-0254-42b5-9a62-d5e8081126e9,activity,Care safe manage indicate real assume.,quickly,idea,black,item,407-858,political,run,part
1abefa27-401b-4d73-b08b-c8ac682ed8af,affect,Stop play many anyone.,human,decade,up,treatment,243-791,along,yet,life
68043db3-d939-4447-a5bc-416f0170aadb,yourself,Strong marriage treatment meeting worker lead.,the,air,young,this,430-736,top,experience,record
8bb658f4-30e6-4b6f-aa9b-78efc90ead5c,indicate,Finish take happy structure than then cut culture.,tree,experience,media,least,117-530,site,begin,evidence
e0c8bcdd-a9d2-4d86-84e7-d46060314d98,identify,Movie nation voice body smile son foreign.,state,by,commercial,tough,172-744,risk,cold,by
af86c929-f9d0-459b-a726-f1eaa9a0e5fe,citizen,Into black store south gas camera political.,home,cell,part,break,377-779,management,billion,term
e91b894d-c454-49c3-b941-debdcf2ccc82,value,But sometimes industry able week.,goal,least,gun,order,483-594,check,base,best
0d6c083c-d477-47cf-b992-9b68c5af81c4,before,For call child hospital relate compare wrong moment.,gun,throw,for,return,347-568,add,may,relate
e9f296ca-83b6-4a8e-9059-11585acd487d,far,East after record particular civil prepare interview.,learn,six,air,hand,261-785,answer,Republican,something
72c60245-5204-4d67-b4a2-f36dc6777ba2,sea,Cultural something manage compare fear sense.,lot,require,party,human,226-537,manage,country,use
6379e198-0070-4422-9f19-f46851701ea8,fight,Peace cup Mrs floor job.,quality,hot,own,assume,222-736,effect,administration,window
80777b51-bbf5-45c4-af40-81ce826f5b58,over,I go thousand least.,law,trip,now,address,395-686,financial,girl,nation
4b8d7464-8f1b-4ef6-be3f-9bb767dd95b6,million,Second decide investment develop know believe.,popular,actually,example,better,437-928,cultural,real,enjoy
9f7cb940-5979-4c9e-bdec-76b3a6f87c73,southern,Least kitchen like list statement yet book.,within,beat,well,around,312-639,reach,size,yourself
58748f35-eac8-4050-9588-9326c773894c,no,Cold officer have land since around get.,describe,me,pick,maintain,121-904,key,me,difficult
1bf451e6-c66e-4388-9d61-d92d7171326e,whatever,Employee believe meeting help.,move,song,affect,where,407-768,nice,camera,to
f51ca4cf-bc04-4cf0-9309-ee5cd957f3d7,level,State expert indeed budget there.,coach,benefit,store,close,464-706,early,care,base
95bbbc20-651c-4acf-87a8-71ba14acee0b,black,Pattern matter environmental central common good base.,would,former,at,why,259-715,option,after,public
b9867a58-6649-447b-840f-1775a97153b6,provide,Explain hour none.,ever,market,section,I,140-597,free,five,win
e815bc76-7c9e-47c2-b9ea-67171929e2f0,whatever,Choose if decide cell.,check,several,star,appear,125-955,near,score,many
1b999785-3282-4f1d-ad31-79918f7f9d01,hold,Enter shoulder produce success dog.,there,position,coach,avoid,151-668,popular,old,plant
66c7ca84-c5da-40b3-9279-6c39b9828708,for,Wait laugh break who under night activity.,around,student,discussion,late,468-634,consumer,town,require
87f34488-8915-4a00-b320-108328ee2db2,third,Reason often laugh scene out maybe.,prepare,special,second,push,121-937,a,audience,unit
850b80b0-3628-422c-8809-d16a98cc6d97,current,Teach force floor worry exactly economic throughout.,good,green,federal,visit,218-777,carry,conference,build
f14e1348-2756-4aaa-bda8-1626f4028975,long,Draw reveal reveal mouth wish but return.,attorney,hold,draw,vote,487-575,finish,everything,hand
03002122-acc4-4ce9-8a5c-9b1576ec13b0,government,Suggest above claim even general.,by,analysis,hot,loss,160-873,four,couple,smile
cd31720f-6216-4108-a101-0a1b0542f349,key,Tell some dinner they necessary yeah record.,book,upon,husband,customer,197-946,sort,affect,should
8e6ac237-eabc-4b13-8aa9-b8a86f58b205,site,Fine security environmental person clearly window.,issue,claim,public,small,165-663,drop,arrive,dog
6c06c941-bbb5-4a4d-bdcd-fdcf2f221407,thought,Support matter likely prepare.,shoulder,wear,that,enter,127-629,material,her,cultural
1a1b4a4b-6d4b-46ee-85ec-3774727a35bc,six,Federal section ground box.,community,together,recent,reduce,149-842,prevent,scientist,rate
9f10ab99-2e38-4463-a426-b4b58503ea55,take,Bring simple great own forget health.,attorney,community,several,though,140-578,painting,daughter,call
f0c2b689-2f4f-4201-b5c0-789a81dc2734,stage,True support data once.,return,be,me,behavior,217-917,technology,however,movement
53e43ef3-2fe0-4b6c-989b-8baa2d66f0df,simply,Billion book more appear arrive hold.,charge,thought,house,entire,410-836,popular,perhaps,watch
8a665547-a59d-4bde-bc17-8426ab8d5529,not,Book the road east drive.,week,than,list,get,159-866,drop,debate,manager
b1ca6297-8630-43b4-9959-ad0d68331082,to,Across serious how population determine become.,involve,ask,hot,everything,252-554,town,indeed,easy
d25cc6f4-7cad-4e55-989e-6710286feaa5,expert,Less simply news indeed usually sense offer program.,night,score,form,here,108-695,continue,stuff,ago
dd7d7062-4739-4f62-91d7-9cb54b9abf2a,which,Maintain more surface animal.,prove,street,police,concern,251-607,side,to,song
8ba2bc41-3fa7-47eb-bec8-cb5f339a271b,different,Rise middle popular message much hot.,choose,police,process,good,333-526,if,likely,exactly
